,Unique_ID,Data Portal,Type
0,86980, Australian Oceans Data Network CSW Harvester,Data Portal
1,86981, data.gov.au,Data Portal
2,86982, Geoscience Australia CSW Harvester,Data Portal
3,86983, Navy Meteorology and Oceanography (METOC) CSW Harvester,Data Portal
4,86984, City of Hobart ArcGIS JSON Harvest,Data Portal
5,86985, Australian Institute of Marine Science CSW Harvester,Data Portal
6,86986," Tasmania Department of Primary Industries, Parks, Water and Environment CSW Harvester",Data Portal
7,86987, National Environmental Information Infrastructure CSW Harvester,Data Portal
8,86988, City of Launceston ArcGIS JSON Harvester,Data Portal
9,86989, Logan City ArcGIS JSON Harvest,Data Portal
10,86990, Mineral Resources Tasmania CSW Harvester,Data Portal
11,86991, City of Darwin,Data Portal
12,86992, ESTA Emergency Marker ArcGIS JSON Harvester,Data Portal
13,86993, Australian Bureau of Meteorology CSW Harvester,Data Portal
14,86994, Brisbane City Council CKAN Harvester,Data Portal
15,86995, Data SA CKAN Harvester,Data Portal
16,86996, Moreton Bay ArcGIS JSON Harvest,Data Portal
